player,position,team,age,birth_year,minutes_90s,tackles,dribble_tackles,dribbles_vs,dribbled_past,blocks,blocked_shots,interceptions,clearances,errors,club,games,goals,assists,pens_made,cards_yellow,xg,npxg,passes_completed,pass_xa,assisted_shots,crosses_into_penalty_area,progressive_passes,sca,gca,shots,average_shot_distance,through_balls,throw_ins,corner_kicks,touches,miscontrols,dispossessed,gk_goals_against,fouls,fouled,offsides,own_goals,ball_recoveries,aerials_won,unused_subs,points_per_game,on_goals_for,plus_minus
Leandro Paredes,MF,Argentina,28-172,1994.0,2.5,10.0,3.0,4.0,1.0,0.0,0.0,3.0,4.0,0.0,Juventus,5.0,0.0,0.0,0.0,2.0,0.0,0.0,230.0,0.1,2.0,0.0,13.0,7.0,2.0,1.0,30.6,0.0,1.0,0.0,269.0,1.0,0.0,,6.0,5.0,0.0,0.0,19.0,4.0,2,1.6,6.0,1.0
Leandro Trossard,FW,Belgium,28-014,1994.0,1.1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Brighton,3.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,,0.0,1.0,0.0,66.0,2.0,1.0,,0.0,2.0,0.0,0.0,7.0,0.0,0,1.33,0.0,-1.0
Lee Jae-sung,MF,Korea Republic,30-130,1992.0,2.3,5.0,1.0,8.0,7.0,3.0,0.0,3.0,2.0,0.0,Mainz 05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.1,2.0,0.0,0.0,4.0,0.0,1.0,26.8,0.0,0.0,0.0,116.0,2.0,0.0,,2.0,1.0,0.0,0.0,7.0,3.0,1,1.33,1.0,-4.0
Lee Kangin,MF,Korea Republic,21-302,2001.0,1.6,4.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,Mallorca,4.0,0.0,1.0,0.0,1.0,0.2,0.2,62.0,0.3,4.0,1.0,11.0,13.0,3.0,5.0,25.9,0.0,0.0,5.0,91.0,2.0,3.0,,2.0,4.0,0.0,0.0,6.0,0.0,0,1.0,4.0,2.0
Leon Goretzka,MF,Germany,27-315,1995.0,1.8,5.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,Bayern Munich,3.0,0.0,0.0,0.0,1.0,0.5,0.5,42.0,0.1,1.0,0.0,1.0,1.0,0.0,4.0,16.7,0.0,0.0,0.0,72.0,2.0,2.0,,4.0,3.0,0.0,0.0,12.0,3.0,0,1.33,2.0,-1.0
Leroy Sané,FW,Germany,26-341,1996.0,1.2,1.0,0.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,Bayern Munich,2.0,0.0,1.0,0.0,0.0,0.1,0.1,47.0,1.9,4.0,1.0,9.0,7.0,2.0,3.0,25.4,1.0,0.0,0.0,68.0,0.0,3.0,,0.0,0.0,0.0,0.0,6.0,1.0,1,2.0,5.0,3.0
Liam Millar,DF,Canada,23-082,1999.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Basel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,9.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0
Lionel Messi,FW,Argentina,35-177,1987.0,7.7,5.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,Paris S-G,7.0,7.0,3.0,4.0,1.0,6.6,2.6,301.0,2.0,21.0,0.0,49.0,43.0,5.0,27.0,21.0,3.0,0.0,20.0,460.0,13.0,24.0,,10.0,22.0,3.0,0.0,22.0,2.0,0,2.0,15.0,7.0
Lisandro Martínez,DF,Argentina,24-334,1998.0,3.4,6.0,2.0,2.0,0.0,3.0,1.0,3.0,14.0,0.0,Manchester Utd,5.0,0.0,0.0,0.0,1.0,0.1,0.1,133.0,0.0,1.0,0.0,6.0,2.0,0.0,1.0,10.1,0.0,1.0,0.0,188.0,1.0,0.0,,2.0,3.0,0.0,0.0,6.0,3.0,2,2.0,6.0,3.0
Lovro Majer,MF,Croatia,24-335,1998.0,1.4,3.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,Rennes,7.0,1.0,0.0,0.0,0.0,0.7,0.7,78.0,0.3,2.0,3.0,5.0,5.0,1.0,4.0,23.2,0.0,0.0,3.0,122.0,5.0,6.0,,5.0,3.0,0.0,0.0,10.0,0.0,0,1.43,4.0,3.0
Loïs Openda,FW,Belgium,22-305,2000.0,0.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Lens,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,9.0,2.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,2,3.0,0.0,0.0
Lucas Cavallini,FW,Canada,29-355,1992.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vancouver,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,-1.0
Lucas Hernández,DF,France,26-307,1996.0,0.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Bayern Munich,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0,3.0,0.0,-1.0
Lucas Paquetá,MF,Brazil,25-113,1997.0,3.5,7.0,2.0,5.0,3.0,5.0,1.0,2.0,4.0,0.0,West Ham,4.0,1.0,1.0,0.0,0.0,0.8,0.8,169.0,0.6,6.0,1.0,15.0,9.0,1.0,4.0,11.7,0.0,6.0,0.0,229.0,5.0,4.0,,4.0,2.0,0.0,0.0,13.0,3.0,1,2.5,7.0,6.0
Luis Chávez,MF,Mexico,26-337,1996.0,3.0,1.0,1.0,4.0,3.0,6.0,0.0,1.0,3.0,0.0,Pachuca,3.0,1.0,0.0,0.0,0.0,0.3,0.3,99.0,0.8,4.0,2.0,11.0,14.0,1.0,10.0,31.4,2.0,0.0,12.0,171.0,1.0,2.0,,3.0,8.0,0.0,0.0,15.0,5.0,0,1.33,2.0,-1.0
Luis Suárez,FW,Uruguay,35-328,1987.0,1.6,1.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,Nacional,3.0,0.0,1.0,0.0,1.0,0.4,0.4,25.0,0.1,1.0,0.0,2.0,3.0,2.0,2.0,7.5,0.0,0.0,0.0,52.0,2.0,0.0,,0.0,6.0,1.0,0.0,3.0,2.0,0,1.33,2.0,1.0
Luka Jović,FW,Serbia,24-360,1997.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Fiorentina,1.0,0.0,0.0,0.0,1.0,0.1,0.1,6.0,0.1,2.0,0.0,0.0,1.0,0.0,2.0,17.6,0.0,1.0,0.0,14.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,1,0.5,3.0,0.0
Luka Modrić,MF,Croatia,37-100,1985.0,7.3,16.0,7.0,14.0,7.0,4.0,2.0,10.0,3.0,0.0,Real Madrid,7.0,0.0,0.0,0.0,1.0,0.4,0.4,465.0,0.8,6.0,3.0,61.0,21.0,0.0,6.0,21.1,0.0,0.0,19.0,615.0,12.0,7.0,,13.0,15.0,1.0,0.0,51.0,3.0,0,1.43,7.0,0.0
Lukas Klostermann,DF,Germany,26-198,1996.0,0.7,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,RB Leipzig,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.1,0.0,0.0,4.0,1.0,1.0,0.0,,0.0,8.0,0.0,56.0,0.0,0.0,,1.0,0.0,0.0,0.0,6.0,0.0,1,2.0,4.0,2.0
